"Pot","Prov","Code","Height","D1","D2","Leafarea","Leafno","Leafmass","Stemmass","Rootmass","Date","Room","D"
80,"A","A-80",66,4.89,5.04,876.08,52,3.935,3.4115,1.5678,2016-02-19,6,4.965
45,"A","A-45",62.5,5.31,5.52,1082.48,69,4.8694,2.3239,1.6675,2016-02-18,3,5.415
9,"C","C-09",23.9,2.98,2.97,172.29,10,0.925,0.3366,1.6879,2016-02-22,1,2.975
34,"B","B-34",50,4.21,4.1,700,26,3.55,1.12,1.69,2016-02-10,3,4.155
57,"B","B-57",64,5.26,5.35,1382.236,63,6.4996,0.8187,1.6989,2016-02-19,4,5.305
35,"C","C-35",73.5,4.87,5.12,1176.61,37,4.5109,2.5735,1.7159,2016-02-23,3,4.995
44,"B","B-44",77,5.72,5.42,1380.15,56,5.8658,3.6381,1.7494,2016-02-23,3,5.57
41,"A","A-41",51,5.18,5.14,1402.2,65,6.3722,2.8016,1.768,2016-02-22,3,5.16
55,"B","B-55",82.5,5.37,5.25,1591.9,82,8.1122,4.2675,1.7812,2016-02-23,4,5.31
46,"B","B-46",71.5,5.89,6.08,1271.0100037,34,5.3106,3.1872,1.8006,2016-02-17,4,5.985
68,"B","B-68",73.5,5.21,5.07,1555.55,60,9.1047,3.8192,1.8362,2016-02-22,5,5.14
39,"B","B-39",60.5,4.98,5.29,959.9,16,4.7719,1.99,1.8742,2016-02-17,3,5.135
68,"C","C-68",88.5,5.07,4.97,1295.79,47,6.3519,4.4878,1.8805,2016-02-24,5,5.02
64,"A","A-64",81,5.63,5.56,1467.27,46,5.7804,4.1292,1.8967,2016-02-23,5,5.595
72,"A","A-72",75,5.41,5.04,1576.53,52,4.6048,3.4618,1.937,2016-02-22,5,5.225
39,"A","A-39",61.5,6.76,6.03,1540.21,59,6.7312,3.0521,1.9397,2016-02-23,3,6.395
59,"A","A-59",82,6.1,6.52,1514.4,56,5.6905,5.0338,1.9669,2016-02-23,4,6.31
73,"A","A-73",86,5.64,5.6,1667.1,58,6.6653,5.1316,1.9726,2016-02-24,5,5.62
16,"A","A-16",47.5,5.21,5.08,1023,31,3.9037,1.5195,1.9782,2016-02-18,2,5.145
39,"C","C-39",64.5,6.26,6.42,1100.24,27,5.5968,2.2823,2.0063,2016-02-23,3,6.34
51,"A","A-51",72.5,5.52,5.35,1624.8300018,73,6.6269,3.61812,2.0148,2016-02-23,4,5.435
37,"B","B-37",66.5,5.17,5.52,971.72,35,4.791,2.3448,2.0743,2016-02-18,3,5.345
33,"C","C-33",73,5.53,5.48,1269,45,4.9432,2.6823,2.0756,2016-02-22,3,5.505
47,"A","A-47",66,6.54,6.08,1656.78,61,8.0933,3.8939,2.0964,2016-02-19,4,6.31
36,"B","B-36",61,6.06,5.95,1420.84,60,6.9114,2.9501,2.137,2016-02-23,3,6.005
57,"A","A-57",69.5,5.68,5.75,1425.4,78,6.936,4.1609,2.1992,2016-02-18,4,5.715
36,"A","A-36",66,5.47,5.06,1360.68,49,5.709,2.7341,2.2514,2016-02-23,3,5.265
48,"C","C-48",78,6.09,6.07,1650.27,40,7.0414,3.9262,2.2803,2016-02-18,4,6.08
52,"B","B-52",75.5,5.98,6.06,1686.18,39,6.2215,3.3775,2.3086,2016-02-18,4,6.02
50,"C","C-50",88,5.88,5.96,1033.56,41,4.4204,4.1009,2.3328,2016-02-23,4,5.92
26,"C","C-26",67.3,5.47,5.55,1085.68,23,5.4452,2.0638,2.4162,2016-02-23,2,5.51
53,"A","A-53",68,7.56,7.44,1099.1700031,33,5.2439,3.24,2.92517,2016-02-17,4,7.5
38,"B","B-38",65,6.21,6.21,1264.5,27,6.5783,3.0202,2.9837,2016-02-22,3,6.21
