Date,Room,GPP,R_leaf,R_stem,R_root,R_leaf_se,R_stem_se,R_root_se,LA,LA_SE,Leafmass,Leafmass_SE,Stemmass,Stemmass_SE,Rootmass,Rootmass_SE
8/01/2016,2,0.018713201,0.049115143,0.037702085,0.032618695,0.00031593,0.000331535,0.000257059,0.002727574,0.000125564,0.058586592,0.002746455,0.014281819,0.000832076,0.026726043,0.001100673
23/01/2016,2,0.051137953,0.053310691,0.037008928,0.032018997,0.00031593,0.000331535,0.000257059,0.007211553,0.000360287,0.139333653,0.006824448,0.048667556,0.002809944,0.079702347,0.003376005
15/01/2016,2,0.021733833,0.052050676,0.038009258,0.032884451,0.00031593,0.000331535,0.000257059,0.003695517,0.000180936,0.073319335,0.003590712,0.023417418,0.001267903,0.042799821,0.001829623
22/01/2016,2,0.019907195,0.053107553,0.03655873,0.031629499,0.00031593,0.000331535,0.000257059,0.006591312,0.000329163,0.127393596,0.006250065,0.04440058,0.002538892,0.073699594,0.00312921
13/01/2016,2,0.029231184,0.051753535,0.037598013,0.032528655,0.00031593,0.000331535,0.000257059,0.003418962,0.000165116,0.06910998,0.003349496,0.020807247,0.001143381,0.038207313,0.001621351
11/01/2016,2,0.028040861,0.050670961,0.03867777,0.033462827,0.00031593,0.000331535,0.000257059,0.003142407,0.000149295,0.064900625,0.00310828,0.018197075,0.001018859,0.033614805,0.00141308
9/01/2016,2,0.015314811,0.049818868,0.038897592,0.033653011,0.00031593,0.000331535,0.000257059,0.002865852,0.000133475,0.06069127,0.002867063,0.015586904,0.000894337,0.029022297,0.001204808
24/01/2016,2,0.032978815,0.052328298,0.036461811,0.031545648,0.00031593,0.000331535,0.000257059,0.007831794,0.000391411,0.151273709,0.00739883,0.052934533,0.003080995,0.0857051,0.0036228
16/01/2016,2,0.024259018,0.052280101,0.038665396,0.033452122,0.00031593,0.000331535,0.000257059,0.003833794,0.000188847,0.075424013,0.00371132,0.024722504,0.001330164,0.045096075,0.001933759
25/01/2016,2,0.032683458,0.052666663,0.036481325,0.03156253,0.00031593,0.000331535,0.000257059,0.008452035,0.000422535,0.163213766,0.007973212,0.057201509,0.003352047,0.091707852,0.003869595
14/01/2016,2,0.024775183,0.051219465,0.038358003,0.033186175,0.00031593,0.000331535,0.000257059,0.003557239,0.000173026,0.071214657,0.003470104,0.022112332,0.001205642,0.040503567,0.001725487
12/01/2016,2,0.022650543,0.051449754,0.037315648,0.032284361,0.00031593,0.000331535,0.000257059,0.003280684,0.000157206,0.067005302,0.003228888,0.019502161,0.00108112,0.035911059,0.001517216
10/01/2016,2,0.022939199,0.050105444,0.03892227,0.033674362,0.00031593,0.000331535,0.000257059,0.003004129,0.000141385,0.062795947,0.002987671,0.01689199,0.000956598,0.031318551,0.001308944
19/01/2016,2,0.042332911,0.053009001,0.038907277,0.03366139,0.00031593,0.000331535,0.000257059,0.00473059,0.000235791,0.091573425,0.004526919,0.031599651,0.001725737,0.055691336,0.002388825
17/01/2016,2,0.029964056,0.052714682,0.038574963,0.033373882,0.00031593,0.000331535,0.000257059,0.003972072,0.000196757,0.07752869,0.003831928,0.026027589,0.001392425,0.04739233,0.002037894
26/01/2016,2,0.059644924,0.052874987,0.036978439,0.031992618,0.00031593,0.000331535,0.000257059,0.009072275,0.000453659,0.175153823,0.008547594,0.061468485,0.003623099,0.097710605,0.00411639
4/02/2016,2,0.127840112,0.052257663,0.036455902,0.031540535,0.00031593,0.000331535,0.000257059,0.027177708,0.001177586,0.52104586,0.021458821,0.189770843,0.010378624,0.248605484,0.008929795
13/02/2016,2,0.402566826,0.051946871,0.038204916,0.033053729,0.00031593,0.000331535,0.000257059,0.055350609,0.003056347,1.041190681,0.058027838,0.418204231,0.024894564,0.456989932,0.021908871
11/02/2016,2,0.311322211,0.051677141,0.037233563,0.032213344,0.00031593,0.000331535,0.000257059,0.047936295,0.002456083,0.906735477,0.046088794,0.354206511,0.020508399,0.405382295,0.017704627
20/01/2016,2,0.047882824,0.053034637,0.038907277,0.03366139,0.00031593,0.000331535,0.000257059,0.005350831,0.000266915,0.103513482,0.005101301,0.035866627,0.001996789,0.061694089,0.00263562
18/01/2016,2,0.036682849,0.052666685,0.039021266,0.03376001,0.00031593,0.000331535,0.000257059,0.004110349,0.000204667,0.079633368,0.003952537,0.027332675,0.001454686,0.049688584,0.00214203
27/01/2016,2,0.043119483,0.053180432,0.03653554,0.031609436,0.00031593,0.000331535,0.000257059,0.009692516,0.000484783,0.18709388,0.009121976,0.065735462,0.00389415,0.103713357,0.004363185
5/02/2016,2,0.172692472,0.052959531,0.036011149,0.031155748,0.00031593,0.000331535,0.000257059,0.029586987,0.001272112,0.567047563,0.023139173,0.206880615,0.011266256,0.268446823,0.009546912
14/02/2016,2,0.388874941,0.05192936,0.038412096,0.033232974,0.00031593,0.000331535,0.000257059,0.059057766,0.003356478,1.108418282,0.06399736,0.450203091,0.027087647,0.482793751,0.024010993
12/02/2016,2,0.3802154,0.051583599,0.037685132,0.032604028,0.00031593,0.000331535,0.000257059,0.051643452,0.002756215,0.973963079,0.052058316,0.386205371,0.022701482,0.431186114,0.019806749
21/01/2016,2,0.01803411,0.053090864,0.03655873,0.031629499,0.00031593,0.000331535,0.000257059,0.005971072,0.000298039,0.115453539,0.005675683,0.040133604,0.002267841,0.067696842,0.002882415
30/01/2016,2,0.103355824,0.052878522,0.03714274,0.032134767,0.00031593,0.000331535,0.000257059,0.015131314,0.000704958,0.291037344,0.013057062,0.104221982,0.005940465,0.149398788,0.005844213
28/01/2016,2,0.081111731,0.051994591,0.037544933,0.032482731,0.00031593,0.000331535,0.000257059,0.010312757,0.000515907,0.199033937,0.009696358,0.070002438,0.004165202,0.10971611,0.004609981
6/02/2016,2,0.189436159,0.052597229,0.036864752,0.03189426,0.00031593,0.000331535,0.000257059,0.031996265,0.001366637,0.613049266,0.024819525,0.223990388,0.012153888,0.288288162,0.010164028
15/02/2016,2,0.428488074,0.052181898,0.038100803,0.032963653,0.00031593,0.000331535,0.000257059,0.062764924,0.00365661,1.175645884,0.069966882,0.48220195,0.029280729,0.50859757,0.026113115
