Room,Date,leafarea_p,Intercept,Slope,sigma
4,1/02/2016,354.4793773,0.922082002,-0.015964881,0.921578244
4,2/02/2016,396.0438437,0.922082002,-0.015964881,0.92151608
4,3/02/2016,439.9910443,0.922082002,-0.015964881,0.921449723
4,4/02/2016,486.0769633,0.922082002,-0.015964881,0.921379562
4,5/02/2016,534.0575849,0.922082002,-0.015964881,0.921305986
4,6/02/2016,583.6888933,0.922082002,-0.015964881,0.921229386
4,7/02/2016,634.7268728,0.922082002,-0.015964881,0.92115015
4,8/02/2016,686.9275075,0.922082002,-0.015964881,0.921068668
4,9/02/2016,740.0613511,0.922082002,-0.015964881,0.920985331
4,10/02/2016,793.9572354,0.922082002,-0.015964881,0.920900503
4,11/02/2016,848.4585612,0.922082002,-0.015964881,0.920814459
4,12/02/2016,903.4087298,0.922082002,-0.015964881,0.920727448
4,13/02/2016,958.6511422,0.922082002,-0.015964881,0.920639721
4,14/02/2016,1014.0292,0.922082002,-0.015964881,0.920551527
4,15/02/2016,1069.386303,0.922082002,-0.015964881,0.920463117
4,16/02/2016,1124.565853,0.922082002,-0.015964881,0.92037474
4,17/02/2016,1179.411252,0.922082002,-0.015964881,0.920286646
4,18/02/2016,1233.7659,0.922082002,-0.015964881,0.920199086
4,19/02/2016,1287.473198,0.922082002,-0.015964881,0.92011231
4,20/02/2016,1340.376548,0.922082002,-0.015964881,0.920026567
4,21/02/2016,1392.31935,0.922082002,-0.015964881,0.919942107
4,22/02/2016,1443.145006,0.922082002,-0.015964881,0.919859181
4,23/02/2016,1492.696917,0.922082002,-0.015964881,0.919778038
4,24/02/2016,1540.818483,0.922082002,-0.015964881,0.919698929
4,25/02/2016,1587.353106,0.922082002,-0.015964881,0.919622104
4,26/02/2016,1632.144188,0.922082002,-0.015964881,0.919547812
4,27/02/2016,1675.035128,0.922082002,-0.015964881,0.919476303
4,28/02/2016,1715.869329,0.922082002,-0.015964881,0.919407829
4,29/02/2016,1754.490191,0.922082002,-0.015964881,0.919342637
4,1/03/2016,1790.741115,0.922082002,-0.015964881,0.91928098
5,7/01/2016,20.05088809,0.893260689,-0.024343092,0.888901471
5,8/01/2016,21.58270051,0.893260689,-0.024343092,0.893211879
5,9/01/2016,23.57565075,0.893260689,-0.024343092,0.89320815
5,10/01/2016,26.08203911,0.893260689,-0.024343092,0.893203298
5,11/01/2016,29.15416589,0.893260689,-0.024343092,0.893197197
5,12/01/2016,32.84433139,0.893260689,-0.024343092,0.893189718
5,13/01/2016,37.20483591,0.893260689,-0.024343092,0.893180735
5,14/01/2016,42.28797974,0.893260689,-0.024343092,0.893170121
5,15/01/2016,48.14606319,0.893260689,-0.024343092,0.893157747
5,16/01/2016,54.83138655,0.893260689,-0.024343092,0.893143486
5,17/01/2016,62.39625012,0.893260689,-0.024343092,0.893127212
5,18/01/2016,70.89295421,0.893260689,-0.024343092,0.893108797
5,19/01/2016,80.37957974,0.893260689,-0.024343092,0.893088113
5,20/01/2016,90.93733019,0.893260689,-0.024343092,0.89306502
5,21/01/2016,102.6531897,0.893260689,-0.024343092,0.893039319
5,22/01/2016,115.6141424,0.893260689,-0.024343092,0.893010799
5,23/01/2016,129.9071723,0.893260689,-0.024343092,0.892979248
5,24/01/2016,145.6192637,0.893260689,-0.024343092,0.892944455
5,25/01/2016,162.8374006,0.893260689,-0.024343092,0.892906206
5,26/01/2016,181.6485671,0.893260689,-0.024343092,0.892864292
5,27/01/2016,202.1397474,0.893260689,-0.024343092,0.8928185
5,28/01/2016,224.3979256,0.893260689,-0.024343092,0.892768618
5,29/01/2016,248.4840012,0.893260689,-0.024343092,0.892714435
5,30/01/2016,274.3545358,0.893260689,-0.024343092,0.892655802
5,31/01/2016,301.9400064,0.893260689,-0.024343092,0.892592825
5,1/02/2016,331.1708898,0.893260689,-0.024343092,0.892525673
5,2/02/2016,361.9776631,0.893260689,-0.024343092,0.892454516
5,3/02/2016,394.2908032,0.893260689,-0.024343092,0.892379523
5,4/02/2016,428.040787,0.893260689,-0.024343092,0.892300863
5,5/02/2016,463.1580917,0.893260689,-0.024343092,0.892218705
5,6/02/2016,499.573194,0.893260689,-0.024343092,0.892133219
5,7/02/2016,537.2165709,0.893260689,-0.024343092,0.892044573
5,8/02/2016,576.0186995,0.893260689,-0.024343092,0.891952938
5,9/02/2016,615.9144585,0.893260689,-0.024343092,0.891858481
5,10/02/2016,656.8563335,0.893260689,-0.024343092,0.891761363
5,11/02/2016,698.8012121,0.893260689,-0.024343092,0.891661697
5,12/02/2016,741.7059818,0.893260689,-0.024343092,0.891559591
5,13/02/2016,785.52753,0.893260689,-0.024343092,0.891455147
5,14/02/2016,830.2227443,0.893260689,-0.024343092,0.891348472
5,15/02/2016,875.7485122,0.893260689,-0.024343092,0.89123967
5,16/02/2016,922.0617211,0.893260689,-0.024343092,0.891128846
5,17/02/2016,969.1192585,0.893260689,-0.024343092,0.891016105
5,18/02/2016,1016.878012,0.893260689,-0.024343092,0.890901553
5,19/02/2016,1065.294869,0.893260689,-0.024343092,0.890785293
5,20/02/2016,1114.326717,0.893260689,-0.024343092,0.890667432
5,21/02/2016,1163.930444,0.893260689,-0.024343092,0.890548073
5,22/02/2016,1214.062936,0.893260689,-0.024343092,0.890427322
5,23/02/2016,1264.681082,0.893260689,-0.024343092,0.890305284
5,24/02/2016,1315.741769,0.893260689,-0.024343092,0.890182064
5,25/02/2016,1367.201885,0.893260689,-0.024343092,0.890057766
5,26/02/2016,1419.018316,0.893260689,-0.024343092,0.889932497
5,27/02/2016,1471.147951,0.893260689,-0.024343092,0.889806359
5,28/02/2016,1523.547677,0.893260689,-0.024343092,0.88967946
5,29/02/2016,1576.174382,0.893260689,-0.024343092,0.889551903
5,1/03/2016,1628.984952,0.893260689,-0.024343092,0.889423793
6,7/01/2016,21.43277366,0.889129349,-0.026014242,0.884891669
6,8/01/2016,21.67728034,0.889129349,-0.026014242,0.889073594
6,9/01/2016,22.85946775,0.889129349,-0.026014242,0.889072958
6,10/01/2016,24.95761389,0.889129349,-0.026014242,0.889069882
6,11/01/2016,27.94999673,0.889129349,-0.026014242,0.889064424
6,12/01/2016,31.81489427,0.889129349,-0.026014242,0.88905664
6,13/01/2016,36.53058448,0.889129349,-0.026014242,0.889046585
6,14/01/2016,42.07534535,0.889129349,-0.026014242,0.889034318
6,15/01/2016,48.42745487,0.889129349,-0.026014242,0.889019894
6,16/01/2016,55.565191,0.889129349,-0.026014242,0.889003369
6,17/01/2016,63.46683175,0.889129349,-0.026014242,0.888984801
6,18/01/2016,72.11065508,0.889129349,-0.026014242,0.888964245
6,19/01/2016,81.47440375,0.889129349,-0.026014242,0.888941759
6,20/01/2016,91.5336795,0.889129349,-0.026014242,0.8889174
6,21/01/2016,102.2635489,0.889129349,-0.026014242,0.888891232
6,22/01/2016,113.6390783,0.889129349,-0.026014242,0.888863319
6,23/01/2016,125.6353345,0.889129349,-0.026014242,0.888833726
6,24/01/2016,138.2273837,0.889129349,-0.026014242,0.888802519
6,25/01/2016,151.3902927,0.889129349,-0.026014242,0.888769761
6,26/01/2016,165.0991278,0.889129349,-0.026014242,0.888735519
6,27/01/2016,179.3289556,0.889129349,-0.026014242,0.888699857
6,28/01/2016,194.0548427,0.889129349,-0.026014242,0.888662839
6,29/01/2016,209.2542707,0.889129349,-0.026014242,0.88862453
6,30/01/2016,224.9143823,0.889129349,-0.026014242,0.88858499
6,31/01/2016,241.0247356,0.889129349,-0.026014242,0.888544252
6,1/02/2016,257.5748884,0.889129349,-0.026014242,0.888502342
6,2/02/2016,274.5543986,0.889129349,-0.026014242,0.888459288
6,3/02/2016,291.9528242,0.889129349,-0.026014242,0.888415117
6,4/02/2016,309.7597232,0.889129349,-0.026014242,0.888369856
6,5/02/2016,327.9646534,0.889129349,-0.026014242,0.888323533
6,6/02/2016,346.5571727,0.889129349,-0.026014242,0.888276174
6,7/02/2016,365.5268392,0.889129349,-0.026014242,0.888227807
6,8/02/2016,384.8632108,0.889129349,-0.026014242,0.888178459
6,9/02/2016,404.5554377,0.889129349,-0.026014242,0.888128157
6,10/02/2016,424.5910401,0.889129349,-0.026014242,0.888076929
6,11/02/2016,444.9571305,0.889129349,-0.026014242,0.888024808
6,12/02/2016,465.6408214,0.889129349,-0.026014242,0.887971827
6,13/02/2016,486.6292253,0.889129349,-0.026014242,0.88791802
6,14/02/2016,507.9094548,0.889129349,-0.026014242,0.88786342
6,15/02/2016,529.4686223,0.889129349,-0.026014242,0.887808062
6,16/02/2016,551.2938403,0.889129349,-0.026014242,0.887751977
6,17/02/2016,573.3722214,0.889129349,-0.026014242,0.8876952
6,18/02/2016,595.690878,0.889129349,-0.026014242,0.887637765
6,19/02/2016,618.2369227,0.889129349,-0.026014242,0.887579705
6,20/02/2016,640.997468,0.889129349,-0.026014242,0.887521053
6,21/02/2016,663.9596263,0.889129349,-0.026014242,0.887461843
6,22/02/2016,687.1105103,0.889129349,-0.026014242,0.887402109
6,23/02/2016,710.4372324,0.889129349,-0.026014242,0.887341884
6,24/02/2016,733.9269051,0.889129349,-0.026014242,0.887281201
6,25/02/2016,757.5666409,0.889129349,-0.026014242,0.887220094
6,26/02/2016,781.3435524,0.889129349,-0.026014242,0.887158597
6,27/02/2016,805.244752,0.889129349,-0.026014242,0.887096743
6,28/02/2016,829.2573522,0.889129349,-0.026014242,0.887034566
6,29/02/2016,853.3684657,0.889129349,-0.026014242,0.886972099
6,1/03/2016,877.5652048,0.889129349,-0.026014242,0.886909376
