Room,Prov,W_treatment,Code,Punchno,Puncharea,Punchmass
2,C,w,C-23,4,3.16,8.75
2,C,w,C-24,4,3.16,8.4
2,C,w,C-25,4,3.16,8.47
2,C,w,C-26,4,3.16,8.57
2,C,w,C-27,4,3.16,7.06
2,C,w,C-28,4,3.16,6.41
2,C,w,C-29,4,3.16,8.95
2,C,w,C-30,4,3.16,8.57
3,A,w,A-31,4,3.16,7.81
3,A,w,A-32,4,3.16,
3,A,w,A-33,4,3.16,6.49
3,A,w,A-34,4,3.16,7.38
3,A,w,A-35,4,3.16,10.31
3,A,w,A-36,4,3.16,6.85
3,A,w,A-37,4,3.16,6.74
3,A,w,A-38,4,3.16,6.08
3,A,w,A-39,4,3.16,6.76
3,A,w,A-40,4,3.16,6.52
3,A,w,A-41,4,3.16,7.2
3,A,w,A-42,4,3.16,7.4
3,A,w,A-43,4,3.16,5.89
3,A,w,A-44,4,3.16,7.22
3,A,w,A-45,4,3.16,7.86
3,B,w,B-31,4,3.16,
3,B,w,B-32,4,3.16,5.53
3,B,w,B-33,4,3.16,6.63
3,B,w,B-34,4,3.16,6.9
3,B,w,B-35,4,3.16,8.07
3,B,w,B-36,4,3.16,6.32
3,B,w,B-37,4,3.16,7.18
3,B,w,B-38,3,2.37,4.63
3,B,w,B-39,4,3.16,7.37
3,B,w,B-40,4,3.16,7.47
3,B,w,B-41,4,3.16,6.29
3,B,w,B-42,4,3.16,6.83
3,B,w,B-43,4,3.16,6.99
3,B,w,B-44,4,3.16,5.81
3,B,w,B-45,4,3.16,5.23
3,B,d,B-31,4,3.16,7.91
3,B,d,B-32,4,3.16,7.22
3,B,d,B-33,4,3.16,9.26
3,B,d,B-34,4,3.16,6.57
3,B,d,B-35,4,3.16,7.97
3,B,d,B-36,4,3.16,6.53
3,B,d,B-37,4,3.16,7.24
3,B,d,B-38,4,3.16,7.74
3,B,d,B-39,4,3.16,7.02
3,B,d,B-40,4,3.16,6.48
3,B,d,B-41,4,3.16,8.25
3,B,d,B-42,4,3.16,9.78
3,B,d,B-43,4,3.16,
3,B,d,B-44,4,3.16,7.73
3,B,d,B-45,4,3.16,9.04
3,C,w,C-31,4,3.16,7.23
3,C,w,C-32,4,3.16,7.22
3,C,w,C-33,4,3.16,6.41
3,C,w,C-34,4,3.16,
3,C,w,C-35,4,3.16,10.65
3,C,w,C-36,4,3.16,6.28
3,C,w,C-37,4,3.16,7.71
3,C,w,C-38,4,3.16,6.99
3,C,w,C-39,4,3.16,7.49
3,C,w,C-40,4,3.16,8.33
3,C,w,C-41,4,3.16,8.16
3,C,w,C-42,4,3.16,8.87
3,C,w,C-43,4,3.16,7.54
3,C,w,C-44,4,3.16,7.48
3,C,w,C-45,4,3.16,7.28
4,A,w,A-46,4,3.16,6.88
4,A,w,A-47,4,3.16,9.67
4,A,w,A-48,4,3.16,
4,A,w,A-49,4,3.16,13.48
4,A,w,A-50,4,3.16,6.8
4,A,w,A-51,4,3.16,6.58
4,A,w,A-52,4,3.16,6.17
4,A,w,A-53,4,3.16,7.45
4,A,w,A-54,4,3.16,6.78
4,A,w,A-55,4,3.16,5.96
4,A,w,A-56,4,3.16,7.2
4,A,w,A-57,4,3.16,6.04
4,A,w,A-58,4,3.16,7.41
4,A,w,A-59,4,3.16,7.08
4,A,w,A-60,4,3.16,6.88
4,B,w,B-46,4,3.16,6.3
4,B,w,B-47,4,3.16,7.56
4,B,w,B-48,4,3.16,6.09
4,B,w,B-49,4,3.16,6.82
4,B,w,B-50,4,3.16,
4,B,w,B-51,4,3.16,6.33
4,B,w,B-52,4,3.16,6.56
4,B,w,B-53,4,3.16,6.41
4,B,w,B-54,4,3.16,7.8
4,B,w,B-55,4,3.16,7.07
4,B,w,B-56,4,3.16,7.11
4,B,w,B-57,4,3.16,9.05
4,B,w,B-58,4,3.16,6.53
4,B,w,B-59,4,3.16,5.97
4,B,w,B-60,4,3.16,7.05
4,B,d,B-46,4,3.16,8.67
4,B,d,B-47,4,3.16,8.21
4,B,d,B-48,4,3.16,8.76
4,B,d,B-49,4,3.16,8.23
4,B,d,B-50,4,3.16,7.73
4,B,d,B-51,4,3.16,8.09
4,B,d,B-52,4,3.16,6.32
4,B,d,B-53,4,3.16,6.75
4,B,d,B-54,4,3.16,8.24
4,B,d,B-55,4,3.16,6.9
4,B,d,B-56,4,3.16,9.46
4,B,d,B-57,4,3.16,
4,B,d,B-58,4,3.16,8.46
4,B,d,B-59,4,3.16,8.44
4,B,d,B-60,4,3.16,7.12
4,C,w,C-46,4,3.16,7.08
4,C,w,C-47,4,3.16,8.78
4,C,w,C-48,4,3.16,5.73
4,C,w,C-49,4,3.16,7.93
4,C,w,C-50,4,3.16,6.84
4,C,w,C-51,4,3.16,8.59
4,C,w,C-52,4,3.16,7.16
4,C,w,C-53,4,3.16,6.63
4,C,w,C-54,4,3.16,7.36
4,C,w,C-55,4,3.16,8.88
4,C,w,C-56,4,3.16,
4,C,w,C-57,4,3.16,6.76
4,C,w,C-58,4,3.16,7.66
4,C,w,C-59,4,3.16,7.93
4,C,w,C-60,4,3.16,5.92
5,A,w,A-61,4,3.16,7.31
5,A,w,A-62,4,3.16,6.71
5,A,w,A-63,4,3.16,6.27
5,A,w,A-63,4,3.16,6.24
5,A,w,A-64,4,3.16,6.32
5,A,w,A-65,4,3.16,6.59
5,A,w,A-66,4,3.16,6.32
5,A,w,A-67,4,3.16,5.56
5,A,w,A-68,4,3.16,7.24
5,A,w,A-69,4,3.16,8.17
5,A,w,A-70,,,
5,A,w,A-71,4,3.16,6.96
5,A,w,A-72,4,3.16,5.91
5,A,w,A-73,4,3.16,5.65
5,A,w,A-74,4,3.16,8.04
5,A,w,A-75,4,3.16,6.11
5,B,w,B-61,4,3.16,7.82
5,B,w,B-62,4,3.16,6.97
5,B,w,B-63,,,
5,B,w,B-64,4,3.16,7.36
5,B,w,B-65,,,
5,B,w,B-66,4,3.16,7.72
5,B,w,B-67,4,3.16,8.54
5,B,w,B-68,4,3.16,6.16
5,B,w,B-69,4,3.16,6.74
5,B,w,B-70,4,3.16,8.62
5,B,w,B-71,4,3.16,6.35
5,B,w,B-72,4,3.16,7.32
5,B,w,B-73,4,3.16,6.56
5,B,w,B-74,4,3.16,7.16
5,B,w,B-75,4,3.16,5.78
5,B,d,B-61,4,3.16,9.79
5,B,d,B-62,4,3.16,9.34
5,B,d,B-63,4,3.16,7.6
5,B,d,B-64,4,3.16,8.38
5,B,d,B-65,4,3.16,7.92
5,B,d,B-66,4,3.16,8.07
5,B,d,B-67,4,3.16,7.47
5,B,d,B-68,4,3.16,8.64
5,B,d,B-69,4,3.16,7.75
5,B,d,B-70,4,3.16,8.16
5,B,d,B-71,4,3.16,8.81
5,B,d,B-72,4,3.16,8.47
5,B,d,B-73,4,3.16,10.32
5,B,d,B-74,4,3.16,7.58
5,B,d,B-75,,,
5,C,w,C-61,4,3.16,8.43
5,C,w,C-62,4,3.16,8.17
5,C,w,C-63,4,3.16,7.87
5,C,w,C-64,4,3.16,8.12
5,C,w,C-65,4,3.16,7.72
5,C,w,C-66,4,3.16,7.72
5,C,w,C-67,4,3.16,7.94
5,C,w,C-68,4,3.16,8.69
5,C,w,C-69,4,3.16,7.67
5,C,w,C-70,4,3.16,6.95
5,C,w,C-71,,,
5,C,w,C-72,4,3.16,7.76
5,C,w,C-73,4,3.16,8.04
5,C,w,C-74,4,3.16,7.59
5,C,w,C-75,4,3.16,7.62
6,A,w,A-76,4,3.16,6.45
6,A,w,A-77,4,3.16,6.22
6,A,w,A-78,,,
6,A,w,A-79,4,3.16,7.15
6,A,w,A-80,4,3.16,7.39
6,A,w,A-81,4,3.16,9.35
6,A,w,A-82,4,3.16,5.62
6,A,w,A-83,4,3.16,7.21
6,A,w,A-84,4,3.16,6.84
6,A,w,A-85,4,3.16,7.33
6,A,w,A-86,4,3.16,7.47
6,A,w,A-87,,,
6,A,w,A-88,4,3.16,8.26
6,A,w,A-89,4,3.16,7.41
6,A,w,A-90,4,3.16,7.65
6,B,w,B-76,4,3.16,9.98
6,B,w,B-77,3,2.37,5.87
6,B,w,B-78,,,
6,B,w,B-79,4,3.16,8.5
6,B,w,B-80,4,3.16,8.16
6,B,w,B-80,4,3.16,7.83
6,B,w,B-81,4,3.16,7.27
6,B,w,B-82,4,3.16,5.92
6,B,w,B-83,4,3.16,6.75
6,B,w,B-84,4,3.16,7.37
6,B,w,B-85,4,3.16,7.1
6,B,w,B-86,4,3.16,9.13
6,B,w,B-87,4,3.16,6.76
6,B,w,B-88,3,2.37,5.1
6,B,w,B-89,4,3.16,7.96
6,B,w,B-90,4,3.16,8.26
6,B,d,B-76,4,3.16,8.76
6,B,d,B-77,4,3.16,6.61
6,B,d,B-78,4,3.16,8.34
6,B,d,B-79,4,3.16,9.43
6,B,d,B-80,4,3.16,10.96
6,B,d,B-81,4,3.16,7.93
6,B,d,B-82,4,3.16,8.42
6,B,d,B-83,,,
6,B,d,B-84,4,3.16,9.52
6,B,d,B-85,4,3.16,9.49
6,B,d,B-86,4,3.16,6.31
6,B,d,B-87,4,3.16,8.43
6,B,d,B-88,4,3.16,8.22
6,B,d,B-89,4,3.16,8.38
6,B,d,B-90,4,3.16,8.61
6,C,w,C-76,4,3.16,7.67
6,C,w,C-77,4,3.16,6.48
6,C,w,C-78,4,3.16,9.3
6,C,w,C-79,4,3.16,8.55
6,C,w,C-80,4,3.16,7.83
6,C,w,C-81,4,3.16,10.71
6,C,w,C-82,,,
6,C,w,C-83,4,3.16,8.08
6,C,w,C-84,4,3.16,10.02
6,C,w,C-85,4,3.16,12.58
6,C,w,C-86,3,2.37,8.09
6,C,w,C-87,4,3.16,8.92
6,C,w,C-88,4,3.16,9.3
6,C,w,C-89,4,3.16,11.47
6,C,w,C-90,4,3.16,8.53
