Date,Prov,Pot,W_treatment,Code,Room,Height,D1,D2,Leafno,Leafarea,Leafarea_sub,Leafmass,Leafmass_sub,Stemmass,Stemmass_sub,Rootmass,Rootmass_sub
23/02/2016,A,64,w,A-64,5,81,5.63,5.56,46,1371.08,96.19,5314.6,465.8,4129.2,4111.3,1896.7,
23/02/2016,A,76,w,A-76,6,75.5,4.48,4.05,79,689.96,103.02,2965.4,509.8,2916.5,2857.2,730.5,
23/02/2016,B,10,d,B-10,1,32.5,3.42,3.37,24,348.53,94.73,1253.3,559.9,596.9,566.9,1186.8,
23/02/2016,B,28,d,B-28,2,54,4.65,4.54,31,811.61,106.23,3784.9,584.9,1736,1665.9,1645.9,
23/02/2016,B,30,d,B-30,2,47,4.36,4.22,23,547.4,114.92,3256.8,851.2,1719.5,1585.1,1412.9,
23/02/2016,B,36,d,B-36,3,57.5,4.32,4.13,48,841.19,118.86,4104.1,757.4,1892.4,1828.2,1604.3,
23/02/2016,B,41,d,B-41,3,39.5,3.75,3.96,30,579.74,97.72,3302.8,641.2,1553.4,1466.5,1245.8,
23/02/2016,B,47,d,B-47,4,45.5,3.42,3.09,24,463.08,109.67,2834.3,899.3,1186.5,1151.8,1094.7,
23/02/2016,B,58,d,B-58,4,48,3.32,3.35,22,390.99,92.84,2317.6,800.4,1245,1188.3,761.8,
23/02/2016,B,62,d,B-62,5,58,3.37,3.4,20,362.11,88.07,1782.1,650.6,1641.8,1614.3,805.7,
23/02/2016,B,85,d,B-85,6,45.5,2.82,2.81,19,237.73,84.92,1023.1,635.9,1058.7,1012.5,415.4,
23/02/2016,B,12,w,B-12,1,31.5,3.59,3.98,18,194.16,92.24,471.6,367.1,362.5,347.7,339.8,
23/02/2016,B,21,w,B-21,2,57.5,4.13,4.11,26,735.7,132.69,2734.6,659.1,1411.64,1311.5,1125.8,
23/02/2016,B,30,w,B-30,2,65,4.23,4.54,30,774.02,101.51,2249.7,428.5,1586.7,1498.3,1400.7,
23/02/2016,B,36,w,B-36,3,61,6.06,5.95,60,1333.14,87.7,6416.6,494.8,2950.1,2832.8,2137,
23/02/2016,B,44,w,B-44,3,77,5.72,5.42,56,1238.98,141.17,5142.9,722.9,3638.1,3528.8,1749.4,
23/02/2016,B,51,w,B-51,4,69.5,5.37,5.61,48,1345.27,125.97,5330.6,561.6,2931.8,2809,1548.7,
23/02/2016,B,55,w,B-55,4,82.5,5.37,5.25,82,1481.82,110.08,7450.4,661.8,4267.5,4102.2,1781.2,
23/02/2016,B,66,w,B-66,5,86,4.24,4.32,41,827.41,120.04,3647.9,644.7,3438.5,3349.7,890.7,
23/02/2016,B,86,w,B-86,6,54.5,2.78,2.76,49,369.48,81.22,1443.9,425.2,1395.8,1307.9,321.9,
23/02/2016,C,1,w,C-01,1,34.5,2.85,2.8,23,366.01,119.12,1081.7,529.5,572.5,541.4,698.7,
23/02/2016,C,22,w,C-22,2,65,5.03,4.79,40,987.36,85.02,3483.3,339.7,2022.4,1925.9,1557.2,
23/02/2016,C,26,w,C-26,2,67.3,5.47,5.55,23,973.3,112.38,4752.7,692.5,2063.8,1957.2,2416.2,
23/02/2016,C,35,w,C-35,3,73.5,4.87,5.12,37,1050.21,126.4,3791.3,719.6,2573.5,2460.4,1715.9,
23/02/2016,C,39,w,C-39,3,64.5,6.26,6.42,27,964.43,135.81,4608.7,988.1,2282.3,2239.7,2006.3,
23/02/2016,C,50,w,C-50,4,88,5.88,5.96,41,920.84,112.72,3820.7,599.7,4100.9,4041.5,2332.8,
23/02/2016,C,54,w,C-54,4,90.5,4.99,5.41,44,974.52,127.62,3500.2,587.7,3418.1,3276.6,1408.7,
23/02/2016,C,62,w,C-62,5,85.5,5.08,5.21,38,1222.79,85.98,6228.9,385.3,3813.2,3703.7,1537.4,
23/02/2016,C,84,w,C-84,6,68.5,4.43,4.35,59,668.24,96.24,3518.5,645.2,2679.9,2570.4,1061.2,
24/02/2016,A,15,w,A-15,1,41,4.2,4.26,52,623.5,129.15,2383.4,762.8,1239.1,1085.7,1390.8,
24/02/2016,A,73,w,A-73,5,86,5.64,5.6,58,1479.3,187.8,5768.4,896.9,5131.6,5035.5,1972.6,
24/02/2016,A,87,w,A-87,6,66,4.28,4.21,97,715.6,92.6,3319.4,509.7,2199.8,2089.1,958.2,
24/02/2016,B,15,d,B-15,1,30.5,3.72,3.52,17,253.5,84.22,832.6,529.2,478.6,460.1,605.5,
24/02/2016,B,72,d,B-72,5,48.5,3.34,3.37,19,371.09,125.25,1795.3,1084.2,1170.3,1135.8,435.3,
24/02/2016,B,82,d,B-82,6,50.5,2.72,2.98,18,247.1,87.28,1082.7,582.9,1140.9,1053.1,312.2,
24/02/2016,B,7,w,B-07,1,29,3.15,3.15,20,166.9,99.71,367.5,462.3,327.6,317.6,411.3,
24/02/2016,B,62,w,B-62,5,78,4.25,4.38,55,1123.8,190.8,4536.8,923.4,2876.2,2816.4,1346.8,
24/02/2016,B,77,w,B-77,6,73,3.98,4.03,82,909.44,156,4918,1064.3,2825.1,2758.4,,
24/02/2016,C,10,w,C-10,1,35,4.03,3.92,27,412.2,125.84,1737,927.7,913.7,839.5,1251.4,
24/02/2016,C,68,w,C-68,5,88.5,5.07,4.97,47,1085.6,210.19,5105.5,1246.4,4487.8,4341.5,1880.5,
24/02/2016,C,77,w,C-77,6,71.5,3.42,3.58,23,418.3,144,1404.2,832.2,1986.5,1961.6,937.2,
