"Date","Room","PARsum","PARmax","Tair","RH","VPD","PARsum_mol"
2016-01-16,4,17071.8169333333,1757.50222222222,28.1858194444444,56.2630763888889,1.71008212449558,61.45854096
2016-01-16,5,17071.8169333333,1757.50222222222,31.7165694444444,63.5407916666667,1.74964111212957,61.45854096
2016-01-16,6,17071.8169333333,1757.50222222222,35.2488541666667,69.6334166666667,1.79447372827758,61.45854096
2016-01-17,1,21230.609,1022.69333333333,18.9087916666667,74.1344166666667,0.624554455762864,76.4301924
2016-01-17,2,21230.609,1022.69333333333,22.7346597222222,69.4393958333333,0.915489876873585,76.4301924
2016-01-17,3,21230.609,1022.69333333333,26.3394166666667,61.4547777777778,1.4190160030218,76.4301924
2016-01-17,4,21230.609,1022.69333333333,27.7349861111111,58.3136875,1.62788761088995,76.4301924
2016-01-17,5,21230.609,1022.69333333333,30.7630902777778,65.5385486111111,1.60749031026428,76.4301924
2016-01-17,6,21230.609,1022.69333333333,35.4963680555556,70.1621736111111,1.79199142452323,76.4301924
2016-01-18,1,31103.9678888889,1593.66666666667,19.1724861111111,72.3233680555556,0.682965914131341,111.9742844
2016-01-18,2,31103.9678888889,1593.66666666667,22.8340972222222,72.0956666666667,0.838626549939802,111.9742844
2016-01-18,3,31103.9678888889,1593.66666666667,26.6620416666667,62.0409652777778,1.45799959659923,111.9742844
2016-01-18,4,31103.9678888889,1593.66666666667,28.9582013888889,58.3725,1.71940108085325,111.9742844
2016-01-18,5,31103.9678888889,1593.66666666667,31.611375,65.42025,1.71829476269264,111.9742844
2016-01-18,6,31103.9678888889,1593.66666666667,35.6824097222222,66.7047916666667,2.06964224473489,111.9742844
2016-01-19,1,32685.7094444444,1862.35555555556,19.1684027777778,71.7916875,0.690333823180673,117.668554
2016-01-19,2,32685.7094444444,1862.35555555556,22.8263888888889,72.4544027777778,0.834106255722648,117.668554
2016-01-19,3,32685.7094444444,1862.35555555556,27.3924930555556,63.4655277777778,1.47817899287766,117.668554
2016-01-19,4,32685.7094444444,1862.35555555556,29.1405069444444,59.3737847222222,1.7036378224466,117.668554
2016-01-19,5,32685.7094444444,1862.35555555556,32.3399027777778,56.6870555555556,2.38760967336597,117.668554
2016-01-19,6,32685.7094444444,1862.35555555556,35.7947013888889,69.9908611111111,1.83392539154779,117.668554
2016-01-22,1,6340.4442,484.346666666667,18.6142986111111,76.7834305555556,0.505942469985029,22.82559912
2016-01-22,2,6340.4442,484.346666666667,22.0119097222222,84.3913888888889,0.414691406312862,22.82559912
2016-01-22,3,6340.4442,484.346666666667,25.7965902777778,77.1539444444444,0.808357127154632,22.82559912
2016-01-22,4,6340.4442,484.346666666667,28.1574861111111,73.1678541666667,1.10479340780718,22.82559912
2016-01-22,5,6340.4442,484.346666666667,32.4898541666667,81.0709583333333,0.976488801932515,22.82559912
2016-01-22,6,6340.4442,484.346666666667,35.0423888888889,73.5387569444444,1.53089241356505,22.82559912
2016-01-23,1,19933.3423555556,1551.78,18.7601666666667,71.2332777777778,0.66070695555322,71.76003248
2016-01-23,2,19933.3423555556,1551.78,22.1477638888889,76.9343819444444,0.661148031664966,71.76003248
2016-01-23,3,19933.3423555556,1551.78,25.6536111111111,64.8162430555556,1.23581438013029,71.76003248
2016-01-23,4,19933.3423555556,1551.78,29.4372777777778,66.8226319444444,1.40653490071216,71.76003248
2016-01-23,5,19933.3423555556,1551.78,32.6406111111111,79.7039305555556,1.04975955883058,71.76003248
2016-01-23,6,19933.3423555556,1551.78,35.3226666666667,69.2780277777778,1.84379952309353,71.76003248
2016-01-24,1,10308.4762666667,1125.10888888889,18.5833680555556,75.8505833333333,0.54095322156424,37.11051456
2016-01-24,2,10308.4762666667,1125.10888888889,21.9839722222222,81.9197152777778,0.507719800065868,37.11051456
2016-01-24,3,10308.4762666667,1125.10888888889,24.9765069444444,54.9101319444444,1.47891110655901,37.11051456
2016-01-24,4,10308.4762666667,1125.10888888889,29.0307986111111,67.8669652777778,1.33205504210745,37.11051456
2016-01-24,5,10308.4762666667,1125.10888888889,32.5287083333333,79.7625555555556,1.04041163802477,37.11051456
2016-01-24,6,10308.4762666667,1125.10888888889,35.1347986111111,70.3486875,1.72462511032632,37.11051456
2016-01-25,1,8628.93382222222,707.464444444444,18.6027986111111,75.9899930555556,0.536759534693961,31.06416176
2016-01-25,2,8628.93382222222,707.464444444444,21.9886875,82.2875347222222,0.49440630198852,31.06416176
2016-01-25,3,8628.93382222222,707.464444444444,25.1797291666667,60.7064444444444,1.30770547552804,31.06416176
2016-01-25,4,8628.93382222222,707.464444444444,29.0868611111111,67.8745625,1.33481876266321,31.06416176
2016-01-25,5,8628.93382222222,707.464444444444,32.4875138888889,79.9540486111111,1.02841225740115,31.06416176
2016-01-25,6,8628.93382222222,707.464444444444,35.1025763888889,70.5251736111111,1.74764819096971,31.06416176
2016-01-26,1,19336.5437069597,1180.56700854701,18.7616458333333,71.8384166666667,0.654383583189366,69.6115573450549
2016-01-26,2,19336.5437069597,1180.56700854701,22.1317708333333,76.5369791666667,0.687552939759294,69.6115573450549
2016-01-26,3,19336.5437069597,1180.56700854701,25.7379027777778,69.5653680555556,1.09095621840712,69.6115573450549
2016-01-26,4,19336.5437069597,1180.56700854701,29.4254652777778,66.6274166666667,1.41483502735941,69.6115573450549
2016-01-26,5,19336.5437069597,1180.56700854701,32.8920972222222,79.6472430555555,1.07072228625814,69.6115573450549
2016-01-26,6,19336.5437069597,1180.56700854701,35.4468333333333,71.6566666666667,1.7074422385312,69.6115573450549
2016-01-27,1,9291.40326666667,390.617777777778,18.4359027777778,75.3495416666667,0.539594716973045,33.44905176
2016-01-27,2,9291.40326666667,390.617777777778,22.0044305555556,78.9255069444445,0.604012518487923,33.44905176
2016-01-27,3,9291.40326666667,390.617777777778,25.5682777777778,72.4753680555555,0.971874465691833,33.44905176
2016-01-27,4,9291.40326666667,390.617777777778,29.2048472222222,67.6872291666667,1.34917659419588,33.44905176
