"DateTime_hr","Bay","Room","Date","Tair","RH","VPD","PAR"
2016-02-25 19:45:00,"7",4,2016-02-25,29.99733,65.554,1.469958,0.8645889
2016-02-25 19:45:00,"4",5,2016-02-25,34.07133,78.946,1.146042,0.8645889
2016-02-25 19:45:00,"5",6,2016-02-25,35.94667,68.51467,1.87738,0.8645889
2016-02-25 20:00:00,"6",1,2016-02-25,16.79867,57.828,0.8059246,0.03036667
2016-02-25 20:00:00,"3",2,2016-02-25,20.29067,62.89667,0.8802063,0.03036667
2016-02-25 20:00:00,"8",3,2016-02-25,25.188,61.51267,1.250301,0.03036667
2016-02-25 20:00:00,"7",4,2016-02-25,27.23933,66.68667,1.226211,0.03036667
2016-02-25 20:00:00,"4",5,2016-02-25,30.09267,78.86867,0.9161743,0.03036667
2016-02-25 20:00:00,"5",6,2016-02-25,33.77067,68.13733,1.688954,0.03036667
2016-02-25 20:15:00,"6",1,2016-02-25,15.59133,60.498,0.7018749,0.001488889
2016-02-25 20:15:00,"3",2,2016-02-25,19.43733,66.17733,0.7650615,0.001488889
2016-02-25 20:15:00,"8",3,2016-02-25,24.48067,66.25867,1.037621,0.001488889
2016-02-25 20:15:00,"7",4,2016-02-25,27.31333,70.35133,1.081669,0.001488889
2016-02-25 20:15:00,"4",5,2016-02-25,30.11667,78.364,0.9289874,0.001488889
2016-02-25 20:15:00,"5",6,2016-02-25,33.03533,68.00867,1.622839,0.001488889
2016-02-25 20:30:00,"6",1,2016-02-25,15.51533,62.96067,0.6549695,0.0006333333
2016-02-25 20:30:00,"3",2,2016-02-25,19.358,69.63333,0.6834626,0.0006333333
2016-02-25 20:30:00,"8",3,2016-02-25,24.24133,73.85467,0.7934819,0.0006333333
2016-02-25 20:30:00,"7",4,2016-02-25,27.52467,65.36533,1.280524,0.0006333333
2016-02-25 20:30:00,"4",5,2016-02-25,29.90133,79.49733,0.870226,0.0006333333
2016-02-25 20:30:00,"5",6,2016-02-25,33.53133,68.346,1.650705,0.0006333333
2016-02-25 20:45:00,"6",1,2016-02-25,15.51733,64.57067,0.626434,0.0005555556
2016-02-25 20:45:00,"3",2,2016-02-25,19.44467,71.03333,0.6549961,0.0005555556
2016-02-25 20:45:00,"8",3,2016-02-25,25.01933,74.39067,0.8133285,0.0005555556
2016-02-25 20:45:00,"7",4,2016-02-25,27.184,67.11067,1.190496,0.0005555556
2016-02-25 20:45:00,"4",5,2016-02-25,29.672,78.332,0.9091812,0.0005555556
2016-02-25 20:45:00,"5",6,2016-02-25,32.68467,69.022,1.539638,0.0005555556
2016-02-25 21:00:00,"6",1,2016-02-25,15.45,65.22867,0.6121935,0.0008555556
2016-02-25 21:00:00,"3",2,2016-02-25,19.24933,71.91733,0.627129,0.0008555556
2016-02-25 21:00:00,"8",3,2016-02-25,23.87267,70.12267,0.8871207,0.0008555556
2016-02-25 21:00:00,"7",4,2016-02-25,27.09333,63.91,1.299481,0.0008555556
2016-02-25 21:00:00,"4",5,2016-02-25,29.44133,76.282,0.979155,0.0008555556
2016-02-25 21:00:00,"5",6,2016-02-25,33.32667,67.93733,1.6525,0.0008555556
2016-02-25 21:15:00,"6",1,2016-02-25,15.40533,66.08133,0.5953289,0.0004555556
