Date,Curve,Room,Povanance,Replicate,Unit,Photo,Cond,Ci,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi
16/02/2016,3,4,B,2,HIE2,15.12084684,0.547169425,557.1901694,18.80445671,19.72591782,17.81577682,649.8448486,615.4486694,9.088964462,15.73958111,41.9202652,72.59433746,300.0404968,1501.220703
16/02/2016,3,4,B,2,HIE2,14.36582351,0.53212515,707.9194034,18.60987854,19.34549522,17.81662178,800.0966797,766.394043,8.927863121,15.31977081,41.68004227,71.52088928,300.0411987,1500.943359
16/02/2016,3,4,B,2,HIE2,14.14192934,0.526859381,904.5399275,18.48569489,19.0880394,17.82221413,999.2121582,964.7838745,8.763969421,15.03715801,41.23374939,70.74858093,300.002594,1500.858276
16/02/2016,3,4,B,2,HIE2,14.04653131,0.524876235,1200.28386,18.36503983,18.84705734,17.82437706,1299.602661,1263.564331,8.568971634,14.76792336,40.62131882,70.00753021,300.0524902,1500.72522
16/02/2016,3,4,B,2,HIE2,14.16094385,0.523022106,1493.811937,18.27674294,18.67234039,17.82322311,1598.968506,1560.887695,8.382019043,14.54722118,39.95823669,69.34860992,300.0669861,1500.214355
16/02/2016,4,4,A,2,HIE2,14.85890494,0.312901433,279.5807061,19.00008583,19.76261139,18.79259109,399.6572876,367.8607483,7.559612751,13.15039158,34.43400192,59.89997482,300.0535583,1499.332275
16/02/2016,4,4,A,2,HIE2,11.73609915,0.319164245,186.9934714,18.98690033,19.71896744,18.79530525,279.8883362,254.9590302,7.540965557,13.18050098,34.3756218,60.08353424,299.9993286,1499.727539
16/02/2016,4,4,A,2,HIE2,5.300519676,0.338149623,100.4799922,19.21245956,20.20658684,18.81513214,141.3623352,129.9640961,7.616649628,13.68042374,34.2336235,61.48773193,300.0510559,1499.966431
16/02/2016,4,4,A,2,HIE2,1.847429986,0.402186978,67.89465779,19.78262901,21.50540352,18.8137188,81.617836,77.34497833,7.895814896,15.25077057,34.25271225,66.15913391,299.9741211,1498.679932
16/02/2016,4,4,A,2,HIE2,3.605675958,0.449517393,85.69302766,20.0722332,22.14704895,18.76951027,109.870285,101.8228607,8.221735954,16.30241776,35.03075409,69.46051788,300.0150452,1501.116821
16/02/2016,4,4,A,2,HIE2,7.626222596,0.438805166,129.6644117,19.85903168,21.66703224,18.77702141,179.9866943,163.4776917,8.416264534,15.984375,36.3343277,69.00704193,300.0148926,1501.556641
16/02/2016,4,4,A,2,HIE2,14.72860989,0.432958383,242.7096459,19.63640594,21.12602234,18.77934265,340.0723572,308.3920288,8.559615135,15.65280056,37.46532822,68.51211548,299.9914246,1500.460938
16/02/2016,4,4,A,2,HIE2,16.19496711,0.431088656,332.0299977,19.46796036,20.73932266,18.78388023,440.4406128,405.2633667,8.695526123,15.46233177,38.45903015,68.38761902,299.9823608,1501.339233
16/02/2016,4,4,A,2,HIE2,15.73874687,0.431349974,443.0350218,19.34652138,20.45388794,18.78455162,550.5714111,515.6748657,8.813164711,15.34782028,39.27225494,68.39126587,300.0307922,1501.219727
16/02/2016,4,4,A,2,HIE2,15.35537057,0.429225226,542.9083763,19.2821064,20.30488205,18.78630066,650.1416626,615.4528198,8.92266655,15.29979992,39.91807938,68.44799042,300.0752869,1499.525269
16/02/2016,4,4,A,2,HIE2,15.10736306,0.42590327,690.8950729,19.24755287,20.2502346,18.78429413,799.8706665,764.7802734,9.007831573,15.2901516,40.38582993,68.55207062,300.0350647,1500.15918
16/02/2016,4,4,A,2,HIE2,14.76237814,0.420149115,888.6666231,19.20635414,20.16447449,18.78476906,1000.024902,964.4589233,9.04912281,15.21864796,40.6740303,68.40483093,300.0100098,1500.861572
16/02/2016,4,4,A,2,HIE2,14.6571037,0.416978525,1182.847264,19.17410088,20.07808113,18.78782272,1299.566895,1262.460327,9.080435753,15.15992832,40.8973732,68.27880096,300.0092468,1501.393066
16/02/2016,4,4,A,2,HIE2,14.95398977,0.412477919,1474.145544,19.17171288,20.08811951,18.78857613,1599.122681,1559.651978,9.111136436,15.1505785,41.04177475,68.24687958,300.0161438,1501.484131
16/02/2016,5,4,B,3,HIE2,10.76446388,0.419138584,325.8086031,18.96483612,19.45749283,18.79215431,400.1551514,376.4567871,9.141446114,14.83466244,41.70956802,67.6859436,300.0848389,1499.403564
16/02/2016,5,4,B,3,HIE2,8.849092972,0.390533298,217.6215578,18.90624046,19.3685627,18.79124451,280.3033447,261.1671143,9.16343689,14.59635353,41.95856857,66.8354187,300.0317383,1500.868774
16/02/2016,5,4,B,3,HIE2,4.012983222,0.416386336,113.4075062,19.20551872,19.99378777,18.81498146,141.1851501,132.362915,9.314236641,15.24074936,41.86022568,68.4952774,300.0120544,1499.749023
16/02/2016,5,4,B,3,HIE2,1.118530857,0.497759508,72.27062386,19.77383041,21.23275185,18.79361153,80.20711517,77.40898132,9.710323334,16.84044838,42.1228447,73.05293274,300.0426025,1499.961182
16/02/2016,5,4,B,3,HIE2,2.546786694,0.48988166,92.64141778,19.95868874,21.66742134,18.77928925,109.3888931,103.5362625,10.11108589,17.31746483,43.36099625,74.26527405,300.0125427,1500.122559
16/02/2016,5,4,B,3,HIE2,5.739677869,0.450703382,141.5498202,19.75446129,21.26934052,18.77767563,179.3580322,166.7673492,10.33194828,16.8879509,44.87345886,73.34732819,300.0204163,1501.056885
16/02/2016,5,4,B,3,HIE2,9.930600391,0.439659961,273.7665663,19.55803299,20.80480576,18.78260231,340.3251343,318.4856567,10.47458744,16.58139229,46.05105972,72.89936066,299.9916382,1501.507813
16/02/2016,5,4,B,3,HIE2,10.33434884,0.407950301,366.0995379,19.27568245,20.22627831,18.78636932,439.4532166,416.45047,10.48153114,16.00114059,46.89610672,71.59175873,300.028656,1500.470337
16/02/2016,5,4,B,3,HIE2,10.48678338,0.388488937,472.5577594,19.03217697,19.68204117,18.78702354,550.4492798,526.7528687,10.40745354,15.50003624,47.27444077,70.40679932,300.0274963,1500.682007
16/02/2016,5,4,B,3,HIE2,10.26289514,0.381823008,571.6664827,18.83762741,19.25426483,18.79187012,650.152771,626.5360718,10.259161,15.12250042,47.1701889,69.53114319,300.0429077,1499.863281
16/02/2016,5,4,B,3,HIE2,10.34500359,0.401023107,720.9739302,18.90693665,19.37899399,18.81129265,800.598938,775.897522,10.17853832,15.2727375,46.598423,69.92020416,300.0358276,1500.272949
16/02/2016,5,4,B,3,HIE2,12.35475365,0.510844188,912.5621282,19.56126213,20.81942368,18.80851364,999.7701416,968.5859375,10.45905781,17.03223419,45.96635056,74.85470581,300.0280151,1498.862061
16/02/2016,5,4,B,3,HIE2,12.35347747,0.49352967,1204.714288,19.49608803,20.73952293,18.77916908,1298.504395,1265.609741,10.5746069,16.93655968,46.66306686,74.73674774,300.0336304,1499.797729
16/02/2016,5,4,B,3,HIE2,11.91706301,0.42136326,1497.311592,19.15466881,20.00651932,18.78568077,1599.063843,1566.526611,10.50005913,15.96776104,47.32938766,71.97524261,300.0148926,1500.067627
16/02/2016,6,4,A,3,HIE2,10.17719928,0.302791169,313.742886,20.6726265,21.82394981,19.95329285,399.802002,377.5202637,12.00574112,17.02609634,49.25574875,69.85268402,300.0114136,1500.073975
16/02/2016,6,4,A,3,HIE2,7.642436918,0.30271988,216.2941154,20.74681473,21.95963669,19.98568535,280.524292,263.8971558,12.28090858,17.2807579,50.15156174,70.56945801,300.0075684,1500.117188
16/02/2016,6,4,A,3,HIE2,2.923249365,0.32084561,116.1429325,20.96705818,22.41022491,19.97075844,140.5381165,133.9707947,12.70442104,17.98799515,51.18579483,72.47317505,299.9993591,1500.050537
16/02/2016,6,4,A,3,HIE2,0.63682083,0.31920569,74.42723552,21.00936317,22.53814125,19.94501877,80.73513794,79.04308319,13.10321617,18.30202675,52.65675354,73.54876709,300.0419312,1501.100464
16/02/2016,6,4,A,3,HIE2,1.957821542,0.313752131,92.96050108,20.6953392,21.89300919,19.96986389,109.6325836,105.213501,13.27645493,17.97926903,54.39474869,73.66257477,300.0321045,1500.214478
16/02/2016,6,4,A,3,HIE2,4.600380203,0.347976349,144.6852739,20.85418892,22.17298126,19.96243858,180.1873169,170.1111755,13.57779884,18.6203537,55.08961487,75.54891968,299.9572754,1498.550781
16/02/2016,6,4,A,3,HIE2,9.106210556,0.362426673,272.1730206,20.95946693,22.39066887,19.9671936,340.4960938,320.5913086,13.89640617,19.06664467,56.01753616,76.85918427,299.9569702,1499.619141
16/02/2016,6,4,A,3,HIE2,10.38248072,0.364118049,361.2124769,20.79978943,22.10151482,19.94559097,439.4598999,416.6046143,14.07653999,19.00176239,57.30437851,77.35453033,300.0186462,1500.870483
16/02/2016,6,4,A,3,HIE2,10.93414634,0.370706821,467.9038852,20.74711227,21.96178627,19.97796822,550.7123413,526.2506714,14.19406605,19.03006172,57.97157288,77.72280121,300.0128784,1499.487549
16/02/2016,6,4,A,3,HIE2,11.87714029,0.40272456,562.4356012,20.93122101,22.32337379,19.96598244,649.3648682,622.3243408,14.47128963,19.65054512,58.43499756,79.34880829,300.0194092,1500.390747
16/02/2016,6,4,A,3,HIE2,12.27790356,0.386777907,705.5742181,20.99734306,22.47811699,19.94773865,799.6436768,771.1009521,14.74195004,19.80828476,59.28542328,79.65991974,299.9839478,1501.078369
16/02/2016,6,4,A,3,HIE2,11.89442727,0.367547361,903.0969438,20.78902626,22.0676651,19.9508934,999.6566162,971.2906494,14.85575581,19.47612953,60.5140152,79.33482361,299.9968872,1499.404053
16/02/2016,6,4,A,3,HIE2,11.88234852,0.357430854,1197.768233,20.78278351,22.04519272,19.98214149,1300.277222,1270.69458,14.98319435,19.47087669,61.05738831,79.34496307,299.9718018,1499.901611
16/02/2016,6,4,A,3,HIE2,12.70489031,0.362543688,1486.593704,21.03690147,22.56978226,19.97138405,1599.759033,1566.799316,15.33491516,20.05675125,61.52140427,80.46470642,299.9959106,1498.793091
16/02/2016,7,6,B,1,HIE3,8.820602313,0.299115567,325.3669759,20.13734055,19.66691208,20.98789978,401.1352844,381.7035217,9.564778328,14.2441473,40.63379288,60.51303101,300.3640747,1499.302734
16/02/2016,7,6,B,1,HIE3,8.724210093,0.344047455,330.3687011,20.29916573,19.9650383,20.99140549,399.8576965,380.289917,8.725206375,14.274827,36.70174026,60.045681,300.3730164,1499.712891
16/02/2016,7,6,B,1,HIE3,7.732717143,0.346086979,219.7875925,20.321064,20.01261711,20.99344254,279.7498169,262.7981567,8.594360352,14.23863983,36.10288239,59.81317139,300.3594055,1499.700195
16/02/2016,7,6,B,1,HIE3,4.212425833,0.368702868,109.261161,20.75484848,20.8296051,21.00596237,140.6799011,131.4275208,8.678441048,14.96536922,35.49299622,61.20521164,300.4029236,1499.516235
16/02/2016,7,6,B,1,HIE3,1.810818996,0.419425607,65.67273176,21.31145668,22.03688812,20.98572731,78.7696991,74.59024811,8.9448843,16.35364342,35.35287476,64.63451385,300.3313599,1500.322998
16/02/2016,7,6,B,1,HIE3,3.82342774,0.425770955,93.13709185,21.35870552,22.2259655,20.98162842,119.48909,111.0033035,9.153717995,16.66028976,36.07275391,65.65447235,300.3315125,1501.567017
16/02/2016,7,6,B,1,HIE3,8.594894114,0.421113634,279.0266145,21.17586899,21.78920555,20.98337936,339.9602661,320.4734802,9.284367561,16.39538193,36.99876404,65.336586,300.3473511,1500.087402
16/02/2016,7,6,B,1,HIE3,9.346589279,0.419793664,371.7155266,21.00286293,21.38985634,20.98461151,439.273407,417.711853,9.360095024,16.16121864,37.69936752,65.09204865,300.3084717,1500.123169
16/02/2016,7,6,B,1,HIE3,9.554226881,0.419756085,478.9721578,20.86367226,21.11116409,20.98425293,549.8944702,527.2635498,9.378143311,15.98860168,38.09595871,64.94900513,300.3083496,1501.149536
16/02/2016,7,6,B,1,HIE3,9.490332894,0.415704712,576.4064517,20.74848175,20.82663345,20.98462677,649.0255127,625.9917603,9.358281136,15.76208496,38.28501129,64.48316956,300.3139038,1500.669189
16/02/2016,7,6,B,1,HIE3,9.523757751,0.405728345,723.285193,20.67099571,20.65678978,20.9871769,799.8952026,775.9518433,9.323189735,15.5574398,38.32228088,63.94770432,300.2850647,1499.777588
16/02/2016,7,6,B,1,HIE3,9.775863802,0.401711185,917.2278563,20.64967537,20.61995316,20.98740768,999.7599487,974.1275635,9.345297813,15.5145359,38.46511078,63.8576088,300.363678,1500.017334
16/02/2016,7,6,B,1,HIE3,10.19722605,0.388445256,1208.54275,20.67893028,20.64081955,20.98928452,1301.263794,1273.056274,9.383234978,15.44369984,38.55230713,63.45255661,300.3426514,1499.889648
16/02/2016,7,6,B,1,HIE3,10.60999089,0.379677601,1497.515878,20.68666267,20.64204788,20.98977852,1599.90625,1569.196655,9.435556412,15.40417862,38.74758911,63.25804138,300.3235474,1499.736816
16/02/2016,8,4,B,1,HIE3,13.95840715,0.395744105,302.4989414,19.92779541,19.86198425,20.01020813,399.8119202,369.8841553,9.861811638,15.31410217,42.44110107,65.9054718,300.3995361,1499.841919
16/02/2016,8,4,B,1,HIE3,11.36928605,0.402014944,201.9887374,19.94279099,19.89279556,20.01151657,279.7289429,255.5860443,9.859784126,15.37662411,42.38983536,66.10820007,300.3661804,1499.178955
16/02/2016,8,4,B,1,HIE3,5.485085135,0.402437869,102.6592941,19.93821907,19.90224648,20.00962448,140.2427673,128.5635834,9.833389282,15.36981106,42.28762436,66.09651947,300.3800354,1499.548218
16/02/2016,8,4,B,1,HIE3,2.020201786,0.445659693,65.18034805,19.96389198,19.91241455,20.02867126,78.72813416,74.25150299,9.807636261,15.65132618,42.11102295,67.20205688,300.3400269,1499.565063
16/02/2016,8,4,B,1,HIE3,4.468847566,0.470343266,91.89051746,20.41915894,20.77053261,20.0245266,120.2106857,110.5512848,9.921859741,16.43395042,41.41902161,68.60388947,300.3442078,1499.388062
16/02/2016,8,4,B,1,HIE3,13.46165637,0.536408208,260.3178403,20.99828148,21.92876053,20.02102852,340.0477905,310.7694702,10.40616989,17.94888496,41.91588211,72.29781342,300.3556519,1499.029053
16/02/2016,8,4,B,1,HIE3,15.41413839,0.554213536,348.3783172,21.17265701,22.42440796,19.9875946,439.3683472,405.3525696,10.94634247,18.72670555,43.6224556,74.62811279,300.2578735,1500.949219
16/02/2016,8,4,B,1,HIE3,15.50977669,0.515301426,452.7163209,20.93107605,21.96288872,19.99765778,549.2684326,514.5863647,11.24373817,18.28781128,45.47582626,73.96591187,300.2884216,1501.054199
16/02/2016,8,4,B,1,HIE3,15.12620702,0.486145311,551.3489152,20.71292686,21.52032089,19.99934387,649.9799805,615.6976929,11.37854958,17.85599709,46.6417923,73.19348907,300.3055725,1500.669189
16/02/2016,8,4,B,1,HIE3,14.87356608,0.468288816,698.2812195,20.5453434,21.18928719,19.99772072,799.6651001,765.1761475,11.40063,17.52541542,47.21660614,72.58289337,300.2858582,1501.275024
16/02/2016,8,4,B,1,HIE3,15.64367656,0.522028109,894.2282109,21.07395935,22.1479454,20.01825523,999.4556885,961.3907471,11.83044529,18.78079224,47.42734909,75.29075623,300.3100891,1499.902466
16/02/2016,8,4,B,1,HIE3,18.53865979,0.538500872,1172.508262,21.63311577,23.37948608,19.97261429,1299.626343,1252.8302,12.70068455,20.31988525,49.19745255,78.71123505,300.2002258,1500.708008
16/02/2016,8,4,B,1,HIE3,17.21835623,0.503473329,1471.085159,21.36221504,22.95965958,19.98901176,1599.133423,1553.721069,12.96387291,19.9030056,51.05255127,78.37929535,300.2160034,1501.240845
16/02/2016,9,6,B,2,HIE3,9.059702662,0.316801285,325.6451534,17.8833828,19.86795998,16.08530045,399.5947266,379.8883362,11.76094437,15.90912533,57.46990204,77.74000549,300.2375488,1501.162598
16/02/2016,9,6,B,2,HIE3,6.925845318,0.320747082,224.5326781,17.70858574,19.53089714,16.08320999,280.1255798,265.1903992,11.58764935,15.65244961,57.25115585,77.33413696,300.2513733,1501.171265
16/02/2016,9,6,B,2,HIE3,3.003824087,0.325868877,116.0714041,17.56798744,19.25196838,16.09123611,140.2036285,133.652832,11.35415745,15.39745045,56.59581375,76.74996948,300.2849121,1501.076416
16/02/2016,9,6,B,2,HIE3,1.044819194,0.331030324,70.87251481,17.46377945,19.05989265,16.09161186,79.64897156,77.24188995,11.09938431,15.17449284,55.69051361,76.13713837,300.3127136,1500.182983
16/02/2016,9,6,B,2,HIE3,2.173753443,0.338293214,102.6630187,17.38147163,18.87338448,16.09218788,120.0062332,115.1811981,10.8567028,14.9770937,54.75609207,75.53739929,300.2955933,1501.219971
16/02/2016,9,6,B,2,HIE3,6.353192187,0.348220322,290.9738544,17.31668663,18.73469734,16.10454178,340.6593628,326.5747681,10.63695526,14.83595085,53.86590958,75.12976837,300.3244324,1500.094238
16/02/2016,9,6,B,2,HIE3,7.817632702,0.374247548,380.7143021,17.72084808,19.38162994,16.12130737,440.1068726,422.4710999,10.69424248,15.39280415,52.78879166,75.98177338,300.2983093,1498.965698
16/02/2016,9,6,B,2,HIE3,10.42845973,0.372880035,469.7882062,18.4116497,20.79423332,16.18763733,549.5804443,525.9276123,11.32067394,16.58098412,53.50068283,78.36052704,300.2486877,1500.419678
16/02/2016,9,6,B,2,HIE3,10.35925246,0.369528561,568.3673071,18.10719299,20.26801109,16.07392693,649.0130005,625.2546997,11.59562206,16.41026306,55.85528564,79.04706573,300.3015747,1501.531494
